album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url
68mwSgiHv3JF9nrw9feMrt,Illusion,Dua Lipa,2024-04-11,4,13,https://i.scdn.co/image/ab67616d00001e02637707fdf5f11cd741080d20
5quMTd5zeI9yW5UDua8wS4,Espresso,Sabrina Carpenter,2024-04-12,1,78,https://i.scdn.co/image/ab67616d00001e02659cd4673230913b3918e0d5
2H6k8joKIeY5mLZVPyPVfu,b i g f e e l i n g s,WILLOW,2024-04-11,1,34,https://i.scdn.co/image/ab67616d00001e022a1cce0c1fe2849dce37e22e
4lHX02NbEG7B7f7LHfcAUg,MERCEDES,Becky G,2024-04-11,1,49,https://i.scdn.co/image/ab67616d00001e02973cbcd89ba94dd8bc46d646
4EYRBdtOIR0fkTzVXN6bvI,L o s e M y M i n d,PARTYNEXTDOOR,2024-04-11,4,0,https://i.scdn.co/image/ab67616d00001e02ee0f556a03e3b3ebea155054
3q149oaxOiW9EoHXqM5nvO,Don't Forget Me,Maggie Rogers,2024-04-12,10,59,https://i.scdn.co/image/ab67616d00001e02cbb095bd296832a6254f3f10
5WTsC6KDdxp9xVQrAMIU6c,MANIFESTING 20-05,Feid,2024-04-10,5,68,https://i.scdn.co/image/ab67616d00001e026d9e4531af31264051a5fbe9
5BEgYBYUzfvGoU1uLHvGRA,SLUT ME OUT 2,NLE Choppa,2024-04-12,1,56,https://i.scdn.co/image/ab67616d00001e02ff482f77da90b04d4f54c738
5QaKu3YoUJNglyaKixaegf,I'M DOING IT AGAIN BABY!,girl in red,2024-04-12,10,60,https://i.scdn.co/image/ab67616d00001e028a444875575da1e376dc3a62
3wOG84RkmoSoeN3LKkxXga,un mechón de pelo,TINI,2024-04-11,10,60,https://i.scdn.co/image/ab67616d00001e026bd70c2f08e9ad77ccf8d7be
4JI3u1wRGAu5H4CB5NFyBS,The Mountain Is You,Chance Peña,2024-04-12,1,47,https://i.scdn.co/image/ab67616d00001e029a3d41f8a6c8a7ae47ef50f0
