name,gender
Fuerza Regida,band
Megan Moroney,female
Laufey,female
Chris Stapleton,male
KAROL G,female
Ken Carson,male
The Kid LAROI,male
HARDY,male
d4vd,male
Grupo Frontera,band
Lana Del Rey,female
Mitski,female
Sleepy Hallow,male
Sabrina Carpenter,female
Lil Tecca,male
Rod Wave,male
Jelly Roll,male
Miley Cyrus,genderfluid
The Weeknd,male
Kali Uchis,female
Tate McRae,female
"Tyler, The Creator",male
Gracie Abrams,female
Zach Bryan,male
Gunna,male
Metro Boomin,male
Hozier,male
Rauw Alejandro,male
Jung Kook,male
Taylor Swift,female
Cody Johnson,male
Jordan Davis,male
Nate Smith,male
Warren Zeiders,male
Taylor Swift,female
A$AP Rocky,male
KAROL G,female
Feid,male
RAYE,female
Tainy,male
Elevation Worship,band
Jorge Rivera-Herrans,male
Jungle,band
Chezile,male
Dominic Fike,male
That Mexican OT,male
Lil Uzi Vert,non-binary
Carin Leon,male
Troye Sivan,male
Bryan Martin,male
Sam Barber,male
wave to earth,band
boygenius,band
Nicki Minaj,female
Drake,male
BigXthaPlug,male
Billie Eilish,female
Sexyy Red,female
Mac DeMarco,male
Natanael Cano,male
Jack Harlow,male
beabadoobee,female
Ole 60,band
Rauw Alejandro,male
Lil Yachty,male
Jessie Murph,female
Don Toliver,male
Ella Langley,female
beabadoobee,female
Olivia Rodrigo,female
Gregory Alan Isakov,male
Noah Kahan,male
LUCKI,male
Morgan Wallen,male
Catch Your Breath,band
Moneybagg Yo,male
Gavin Adcock,male
Nicky Youre,male
Daniel Caesar,male
Doja Cat,female
Beach Weather,band
Key Glock,male
Lil Durk,male
Destroy Lonely,male
Rich Amiri,male
Doja Cat,female
Riley Green,male
NLE Choppa,male
Tiësto,male
Parker McCollum,male
Hunxho,male
Lauren Spencer Smith,female
NewJeans,band
Eslabon Armado,band
Dua Lipa,female
Pecos & the Rooftops,band
Zach Bryan,male
Charles Wesley Godwin,male
Agust D,male
Tyla,female
Teddy Swims,male
Tyler Hubbard,male
PinkPantheress,female
Olivia Dean,female
LE SSERAFIM,band
Yeat,male
Lana Del Rey,female
Paul Russell,male
Pierce The Veil,band
Zach Bryan,male
Brandon Lake,male
Snow Strippers,band
Dylan Gossett,male
The Weeknd,male
AJR,band
Jason Aldean,male
Cris Mj,male
NewJeans,band
Chris Brown,male
Reneé Rapp,female
Joey Valence & Brae,band
Stray Kids,band
beabadoobee,female
ILLENIUM,male
Lewis Capaldi,male
Melanie Martinez,female
Post Malone,male
Dylan Gossett,male
Old Dominion,band
$uicideboy$,band
Stray Kids,band
Måneskin,band
Big Thief,band
Corey Kent,male
Oscar Maydon,male
Gorillaz,band
jaydes,male
Sexyy Red,female
Nic D,male
Offset,male
Clara La San,female
glaive,male
Forrest Frank,male
BABY GRAVY,male
Wind Walkers,band
Tyler Childers,male
Michael Marcagi,male
Leith Ross,non-binary
Oliver Anthony Music,male
Junior H,male
Jalen Ngonda,male
Oscar Maydon,male
Tory Lanez,male
Alek Olsen,female
sombr,male
Tee Grizzley,male
Leon Thomas,male
Becky G,female
Forrest Frank,male
ENHYPEN,band
Odetari,male
Maluma,male
NLE Choppa,male
Myke Towers,male
