album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url,genre,genre_cleaned,genre_condensed
3qYGLHQB2krhFp27Hm62Ip,Billete Grande (En Vivo),Edgardo Nuñez,2022-08-02,1,65,https://i.scdn.co/image/ab67616d0000b273c73f52d6e835d6b35e8cc33c,mexico,latin,latin
11utgFeLO1G1HZsyPEaj6U,Fluffy Winds,Focus Noise,2022-10-07,6,63,https://i.scdn.co/image/ab67616d0000b273aa931f7ccbcdbd135d77e919,noise,relaxed,relaxed
20NEJgF7RPooqJ1dW0JZM1,NS+ (ULTRA),Destroy Lonely,2022-11-18,24,61,https://i.scdn.co/image/ab67616d0000b2734f210060708ed55d2d5e79b4,southern hip hop,hip hop,rap/hip hop
53aYSRJmJeUO800GL3Wa1C,So Icy Gang: The ReUp,Gucci Mane,2022-06-17,32,59,https://i.scdn.co/image/ab67616d0000b2734f51050ed30d62b139ab5e02,Hip-Hop,hip hop,rap/hip hop
6MwqYJ85YSYpDhcJh8kJW7,The Greatest Day of My Life,Zach Bryan,2022-11-11,2,59,https://i.scdn.co/image/ab67616d0000b273a5b8a2a3d3c73bea87182582,country,country,country/folk
50pGwcHiol4K7dRGi5CecK,Perfect Storm,Yatta Bandz,2022-05-06,14,59,https://i.scdn.co/image/ab67616d0000b2735062812c1763daec31482add,Unknown,unknown,unknown
34bayAIMD6AuIEk98t9x2Z,heartpacing,jaydes,2022-08-14,9,59,https://i.scdn.co/image/ab67616d0000b27337a9e6f1702359be0df71c28,experimental,religious,religious
7JnzHncxsU2cJ0uGgmvDa5,When Im Gone,LECADE,2022-05-27,1,59,https://i.scdn.co/image/ab67616d0000b273efc16890f52e4f436fdf63d0,country,country,country/folk
4i2Cb9v7g9ieShCgf1gakk,Up and Away,Σtella,2022-06-17,10,65,https://i.scdn.co/image/ab67616d0000b2735fde798f6842d0ccc57c4bba,indie,indie,indie
2xO5zlCGNyap7Jx1ED3HgG,AfterLife,Five Finger Death Punch,2022-08-19,12,62,https://i.scdn.co/image/ab67616d0000b2732876e0647769b340d08d9b99,alternative metal,metal,metal
4ohh1zQ4yybSK9FS7LLyDE,Dance Fever,Florence + The Machine,2022-05-13,14,63,https://i.scdn.co/image/ab67616d0000b2735fd9e21618182df7d70b2186,indie,indie,indie
