image,skin_percentage
7xV2TzoaVc0ycW7fwBwAml.jpg,4.2
64uXGDfQWY9evJEyqjbJfJ.jpg,98.94
46Kw3kMUjN6xOBIsS0UEw3.jpg,3.08
38DbwWdACUMpVMfRTxGnvi.jpg,83.09
5zHw4l7ugQFWW6gy0zUxpy.jpg,4.86
3i2wMPc1QXrmnJo3R31GIi.jpg,27.53
4VDFKsron5xLCkREXXmFjD.jpg,0.43
2xkZV2Hl1Omi8rk2D7t5lN.jpg,10.08
4L2PIZU6Qcl4EnYHrgPof6.jpg,63.52
5ZQB1ZQ2Yx9YT3nZlR2Pgu.jpg,13.21
7gXMeoA54ckYqKUWKPIINJ.jpg,2.25
3sjAEWf2QbTLsJZ93YSWVA.jpg,5.5
0mDeN57X1YtJHfXNdYlJbw.jpg,17.98
6PQXsiHd4AjrAqhWLd5HyT.jpg,24.54
5TkaDC4mYSLBvdG6UrIB0v.jpg,42.95
6j1k8wmYevBQURQjzl7tCt.jpg,15.63
7nu6KcOl06uRnbh46QxdcQ.jpg,59.1
6yE0TocxJHEMwWtPFnfbJo.jpg,7.93
65YAjLCn7Jp33nJpOxIPMe.jpg,0.93
2MIJ5Y3HkGAHBxnQNfCD52.jpg,0.23
4f2G7uAWqzpOPwEfCDV87A.jpg,0.96
4l6EPpP9hjQrLb8qNB9eC5.jpg,0.0
3rnRG8mHzOpShNNJpYQQDR.jpg,66.2
6i07QMGlI2NMuDgvLQNi7e.jpg,0.02
1vOUij8gaWv4YJaD6BQs4d.jpg,1.83
1oqxzh4V3jEnNedwoL408R.jpg,1.69
5s1S4QUVIVFRg9gLOz9ves.jpg,26.0
1Y9tVqcZW0ANQk7EFhy4TN.jpg,30.07
12INlMsFtBjyehNnawBv36.jpg,0.03
4kI7ZZF6CgDGFTjZNFwXYG.jpg,13.19
2MDU46hcBn3u94s46BOSdv.jpg,0.0
0NAzQ4QXcT7UaNbD3HyK9J.jpg,0.0
2o9hvoqKSHcD8V8bT7YvTJ.jpg,7.36
0E3wRkztEF32ZdYICXBuBf.jpg,2.0
2cJRX7IOFH07xtkDvB3gcG.jpg,0.0
7fe4Mem3wWgY6zkTFuKUI9.jpg,25.6
3bChCUtpRC1NaCLYD4unbD.jpg,5.05
68vmTrzCatCqV4oTrjwbZy.jpg,6.22
5J4e0IzF4dOj19CeGTk4aA.jpg,39.25
4VZ7jhV0wHpoNPCB7Vmiml.jpg,99.23
1FxK884UiwzUnTsiKXYkCX.jpg,0.5
1yPIglaOLvrljOFuW6tgNt.jpg,11.24
7nlnkF135vozYOVdbtEi0z.jpg,12.32
7BgKnIEiobf2VaITPMojh5.jpg,2.49
4S9yXoEJxk13SHsFsnYLcm.jpg,3.67
0sztwpDG0COJ1HoJRD74bn.jpg,2.91
59Gsd0DGxyhKyuHkhCV4Hq.jpg,12.06
5SMq0MLpob32s5Wf5GH8a9.jpg,8.95
5aDEezKnOqyQo0qvTFhpkM.jpg,14.85
7c60QdnpXI2efwnUaIzQSu.jpg,11.37
6NmuOSiXv5WoA5lYjemVTt.jpg,0.2
4lPqFAvgmG97pxyxQsyCQx.jpg,6.82
5BNUgsVK7qqfFnV046qHfW.jpg,47.08
2HLqoccnVNqOfm7gpN1Svo.jpg,52.16
5WrO8LVm1G1Gdsfm4nRUO6.jpg,0.95
2ij1JaqxLVOKTOsSUZKMji.jpg,2.38
5oKGidxLS8SePF9enCeQXT.jpg,0.2
6n9DKpOxwifT5hOXtgLZSL.jpg,13.65
3rZyOsowQOtW3BMuO4vCmh.jpg,18.47
7LMPvMtvi02jBM47lrBEMk.jpg,0.01
4mXTpvVCAnAsDjdI2Pe9vr.jpg,0.67
1QGL60gbmLX8f4mWFP0xBw.jpg,23.56
2WS0EdG1NL1TkGT7ahnXYZ.jpg,4.84
4HfWTfgdYHX4RBwDhMVl3T.jpg,0.39
4XVIEmQkAh94hMVod4yh3k.jpg,0.0
31qVWUdRrlb8thMvts0yYL.jpg,77.89
3FrkD0TTaXBuW19vuEhDGz.jpg,0.48
2gBFkq8qwXIle8gPcfGPtZ.jpg,0.0
5iFPxq21dVb6E7RFjBSYvG.jpg,1.85
7t4NiEDttnvbCSF0sREjds.jpg,39.77
16NVN8hOdwDz3pNUIv05ba.jpg,0.0
7A7UW1QQm9ZLqNhaWUGTfo.jpg,16.29
6PSEAdSehPKTceckDYOHum.jpg,28.22
6bCs4XCCkm9cTwlswlu0VD.jpg,0.0
2iv4j11JOrhPnIz67C9UCT.jpg,0.12
09FqVvj8EwzFjYQhiT1LUM.jpg,25.06
2nLOHgzXzwFEpl62zAgCEC.jpg,0.03
3Ks0eeH0GWpY4AU20D5HPD.jpg,36.39
76euUYIYRU8rVEpIqITXG5.jpg,6.67
4gvQO5mEuhbMSrLIuwXkmz.jpg,2.54
1Uf67JAtkVWfdydzFFqNF2.jpg,5.32
2c12Spm8XcLAT2xYtQdgGK.jpg,29.1
0Lzt3Z4hUw8Dts7olIruNz.jpg,4.05
7z20vHCSgu68lplj1Q976a.jpg,71.77
1S6sk9yusYQoadSAbx3ZB8.jpg,0.0
2Jho8ttGDQjw8uta6JgxL6.jpg,1.63
4F7WwykKeKWjzutmBi74St.jpg,2.96
0DMKZZanrzK36YjFyI5nfF.jpg,15.93
5bBC6ZdhKmZ74Af23DW3at.jpg,12.87
6a15PoOmOueHCdogzhHRbh.jpg,17.31
2mcXjifcw4kQ3BTL88EqCs.jpg,40.11
2zSuxzKE7PIi9LhCk3uL6o.jpg,2.75
0aX0UXrHG2ceYIxTQcqJdA.jpg,67.72
4tWjtkPElXJj7G5QxV7lMZ.jpg,0.52
4ErAl5hH3SIKCackOBqBVA.jpg,5.99
2npti6Rg17IWSIinNwZffy.jpg,0.0
5bgeDoOX2zVk3Lc7xawDJL.jpg,18.87
3lK2JRwfIOn2NaYtgEGTmZ.jpg,18.37
2ecO4JampVxMRviNZzCAPE.jpg,43.27
7JZDSfFXb39fXxUl3fwdNi.jpg,17.11
7bpWEp24oHgUs08ImjakfU.jpg,0.6
52pl5ANwTRORPcPj6vlzA8.jpg,59.08
2yCGOCKqwGNv0PWxK7GEni.jpg,7.87
7gGJ9rNtigRF53dsFo48Wp.jpg,25.41
5GmCyt6pFMtFKkqHHIuYUz.jpg,52.79
455RzQUwcpDB62Idjqofaw.jpg,5.21
2zSqnTr0gSXrSlPbHzLfJS.jpg,8.79
5IBigZKJt8uffeMjKw5uEl.jpg,12.96
6Mu28q2JNIpShD39DO2coj.jpg,1.18
2gWmgvSUxzX6T8i3pfRrjq.jpg,57.14
4tnNsvUsbJAoI9FESgvkOJ.jpg,0.0
03jEIpwDBf80jqCrwyPrhv.jpg,38.16
2fKwoeILLsvxTuofBHCC4P.jpg,47.24
7ey1j5jjFdfDgRQoDFmpc6.jpg,21.52
0aJnGEZWIc1VCYlZOXv05a.jpg,0.01
6WbSGtYjhsDT4sMbeONLBn.jpg,79.14
1ufWN12kJj7YQR1PAfE4YB.jpg,16.01
5r36AJ6VOJtp00oxSkBZ5h.jpg,65.74
3ics5XSj02ZTkwmm3S2yrF.jpg,51.46
5lzos9xBnjgFQAXZUQQsVU.jpg,1.17
1pCA38N6MkLlthXtAOvZTU.jpg,30.9
0yURloAyqmXCjQ1rmX0ltA.jpg,1.76
3dXd7zPtfgASvaxo0jIAtu.jpg,0.0
14twTxZEfFwCDuKXmajio1.jpg,1.83
5CPyXPaL9Qzv5Mpi2HQBug.jpg,10.79
6aiVwr7RR4aWp4Fs0x7ZiB.jpg,7.04
1TiWFnZwyZ152viq7v9C31.jpg,0.16
6KMUsieKkBXNiK1Rb2XUat.jpg,0.0
2AHG3vkC3H7zqHbYdgCCcy.jpg,54.99
1VzWsyBJ8FdJwoMlpm7tDn.jpg,18.66
58Rn6sczqcudAs9bryXXBv.jpg,14.44
59GRmAvlGs7KjLizFnV7Y9.jpg,1.36
2v1Lb9hidHkvvlIXYzSmeZ.jpg,43.51
3m9iIzYKrmMa4tLjASBqFs.jpg,72.26
3WUKQFrLXnp2zeGcJyygkT.jpg,15.88
3QBZ8MMQ5gXCftWLiMJRLg.jpg,45.77
2Sl8X3Uu2N4B2pVa9y5U29.jpg,0.01
1PvzTML4ilaofapFKEweuO.jpg,1.39
5Z0t5jz11i8I4GPbCr5rQE.jpg,0.0
2L5fQG5lbyMkG6iyNNj3uR.jpg,0.72
5seVWzVgUasO5YUeaQ7oaL.jpg,10.91
2TXc74xwfwJfH1cxC22OQK.jpg,0.01
1vWMw6pu3err6qqZzI3RhH.jpg,10.29
3ThQ5dvf9wlqB0C7evh5nH.jpg,3.71
4utJOX1ShFfRa6oQA1ADh0.jpg,7.59
0mhxJEWGDhp6tEE4uFhD7C.jpg,0.63
0ECSyPejfD7oL95dD3jgoi.jpg,16.93
2XIhZ9IjqoIN5V6dfKHzCn.jpg,11.23
2sDLGR5LQ1pRmyCOT0alhN.jpg,23.88
2ZiKx3dsBYBGMypMTdPoKg.jpg,2.01
2EZ8JL3dtb54VXi3k6E7k6.jpg,0.0
4yHDaLGrPSwUfJNVUIvFgg.jpg,16.74
2u0DD4sNHOcgbuJrJyMUu3.jpg,26.02
1DKgZeAYrjslAPZVMe6EFt.jpg,32.35
3ind4Ir3JMazCITxWQajDb.jpg,19.53
2jB6cMNU2kENcoKSdrdXo5.jpg,6.26
2a1AHCq835BXUcX1aTTWqQ.jpg,4.4
6H70Igleyfbki78maRqmXA.jpg,9.72
116es66Gdw60yQU7x776yt.jpg,0.86
6oXCKKghd9Shmz2iU7ebbW.jpg,2.7
7n73prs066Dq9NbZBqRxi2.jpg,11.02
57wh3BpvUF2tmvwoGSjUe3.jpg,15.25
2YmIhRaW7TQ8TI6mbXY9j3.jpg,26.96
7uvmYf2SgOokDnGyxF6moX.jpg,37.82
6Rl6YoCarF2GHPSQmmFjuR.jpg,1.38
0gnnXrBSW7CvP9k3uU500b.jpg,4.69
73ZntI5YFxfpXvu9WCCkUA.jpg,38.87
48Kac3ieDtt9OSp9Fm4g9e.jpg,14.76
1sR2Y5yFQv4qbqbJQkuzWH.jpg,0.0
1ef0hDatnLSDDxXMb8Gfbs.jpg,4.23
6B5favhKTShFTjRLsKIUfa.jpg,70.21
1f19gczYsoUBsqpiG2UFR3.jpg,0.04
4G1L7sZheq5RAFNbqSbp3O.jpg,0.9
5Rb7JdsT1IEITEMgUqcWq2.jpg,0.0
